Method,Name,Error,Occurrences
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 49fde967-4c4f-49fe-952f-19b1ebbc0ecb.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 0bc4363b-eef8-4598-b6e6-101d3ebd82eb.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 69b6612a-3645-4c51-adf5-c6d2696ca870.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 3d13b35a-b12b-461c-bfca-9cbda2421de6.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 13a9ab4f-1720-4dbf-8bd4-4aa915cfae6c.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 27a2feaa-eb7d-48e7-90f5-91dcfeb86ed9.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 9bd6ce06-eaa5-4086-907c-bdfd73e47033.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 3e75df7f-f8a0-4ef7-99ac-d484870f03cc.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 669a29b0-f4a0-4df4-af9f-d6ecf63a3141.')""",1
InvokeEndpoint,SageMaker,"""InternalFailure('An error occurred (InternalFailure) when calling the InvokeEndpoint operation (reached max retries: 0): An exception occurred while sending request to model. Please contact customer support regarding request 90c65063-dde2-405c-9651-b28c1587eb1f.')""",1
