Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
InvokeEndpoint,SageMaker,12841,12841,520.0,533.0796232603257,503.964173985878,820.4026909952518,0.0,107.63601229999377,107.63601229999377,520,540,550,560,580,600,650,680,780,810,820
,Aggregated,12841,12841,520.0,533.0796232603257,503.964173985878,820.4026909952518,0.0,107.63601229999377,107.63601229999377,520,540,550,560,580,600,650,680,780,810,820
